# command int_pops obj_pops long_pops int_pushes obj_pushes long_pushes
# generated by scripts/extract-stack-effects.py from the client ScriptRunner
detailget_lightdetail_high 0 0 0 1 0 0
detailget_lightingquality 0 0 0 1 0 0
detailget_loadingscreentype 0 0 0 1 0 0
detailget_loginvol 0 0 0 1 0 0
detailget_maxbackgroundfps 0 0 0 1 0 0
detailget_maxdiskcachesize 0 0 0 1 0 0
detailget_maxforegroundfps 0 0 0 1 0 0
detailget_maxscreensize 0 0 0 1 0 0
detailget_mindiskcachesize 0 0 0 1 0 0
detailget_musicvol 0 0 0 1 0 0
detailget_orthographic 0 0 0 1 0 0
detailget_particles 0 0 0 1 0 0
detailget_performance_metric 0 0 0 1 0 0
detailget_recommendeddiskcachesize 0 0 0 1 0 0
detailget_reflections 0 0 0 1 0 0
detailget_removeroofs_option 0 0 0 1 0 0
detailget_safemode 0 0 0 1 0 0
detailget_shadowquality 0 0 0 1 0 0
detailget_shadows 0 0 0 1 0 0
detailget_skydetail 0 0 0 1 0 0
detailget_soundvol 0 0 0 1 0 0
detailget_speechvol 0 0 0 1 0 0
detailget_spotshadows_on 0 0 0 1 0 0
detailget_stereo 0 0 0 1 0 0
detailget_texturing 0 0 0 1 0 0
detailget_toolkit 0 0 0 1 0 0
detailget_toolkit_default 0 0 0 1 0 0
detailget_volumetriclighting 0 0 0 1 0 0
detailget_vsync 0 0 0 1 0 0
detailget_waterdetail_high 0 0 0 1 0 0
discardCurrentSwipeSettingArg 1 0 0 0 0 0
discardDetailSettingPair 2 0 0 0 0 0
discardDisplayBounds 4 0 0 0 0 0
discardDisplaySettingPair 2 0 0 0 0 0
discardDragResizePair 2 0 0 0 0 0
discardDragTarget 1 0 0 0 0 0
discardDragTargetPair 2 0 0 0 0 0
discardFontArg 1 0 0 0 0 0
discardFourInterfaceArgs 4 0 0 0 0 0
discardInterfaceArg 1 0 0 0 0 0
discardInterfaceTargetArg 1 0 0 0 0 0
discardLogoutArg 1 0 0 0 0 0
discardNotificationGroup 0 1 0 0 0 0
discardThreeInterfaceArgs 3 0 0 0 0 0
discardWorldMapMenuAction 2 1 0 0 0 0
divide 2 0 0 1 0 0
docheat 0 1 0 0 0 0
email_validation_add_new_address 3 1 0 0 0 0
email_validation_change_address 0 2 0 0 0 0
email_validation_submit_code 0 1 0 0 0 0
emoji_add 2 1 0 0 0 0
emoji_enable_auto_chatline 1 0 0 0 0 0
emoji_remove 0 1 0 0 0 0
emoji_substitute 0 1 0 0 1 0
enum_getoutputcount 1 0 0 1 0 0
enum_getreversecount 3 0 0 1 0 0
enum_getreversecount_string 1 1 0 1 0 0
enum_getreverseindex 5 0 0 1 0 0
enum_getreverseindex_string 3 1 0 1 0 0
enum_hasoutput 3 0 0 1 0 0
enum_hasoutput_string 1 1 0 1 0 0
enum_string 2 0 0 0 1 0
escape 0 1 0 0 1 0
facing_fine 0 0 0 1 0 0
format_datetime_from_minutes 1 0 0 0 1 0
formatminimenu 12 0 0 0 0 0
fps_stats 0 0 0 3 0 0
friend_add 0 1 0 0 0 0
friend_count 0 0 0 3 0 0
friend_del 0 1 0 0 0 0
friend_getname 1 0 0 0 5 0
friend_getnotes 1 0 0 0 2 0
friend_getrank 1 0 0 2 0 0
friend_getslotfromname 0 1 0 1 0 0
friend_getworld 1 0 0 2 0 0
friend_getworldflags 1 0 0 2 0 0
friend_getworldname 1 0 0 0 2 0
friend_is_referred 1 0 0 2 0 0
friend_is_referrer 1 0 0 2 0 0
friend_platform 1 0 0 2 0 0
friend_setnotes 0 2 0 0 0 0
friend_setrank 1 1 0 0 0 0
friend_test 0 1 0 1 0 0
frombilling 0 0 0 1 0 0
fromdate 1 0 0 0 1 0
fullscreen_enter 2 0 0 2 0 0
fullscreen_getmode 1 0 0 4 0 0
fullscreen_modecount 0 0 0 2 0 0
gender 0 0 0 1 0 0
get_col_tag 1 0 0 0 1 0
get_currentcursor 0 0 0 1 0 0
get_displayname_withextras 0 0 0 0 1 0
get_entity_overlay_height 0 0 0 1 0 0
get_entity_say 0 0 0 0 2 0
get_entity_screen_position 1 0 0 3 0 0
get_loc_overlay_height 0 0 0 1 0 0
get_loc_screen_position 1 0 0 3 0 0
get_minimenu_length 0 0 0 2 0 0
get_minimenu_target 0 0 0 1 2 0
get_mousebuttons 0 0 0 3 0 0
get_mousex 0 0 0 1 0 0
get_mousey 0 0 0 1 0 0
get_npc_name 0 0 0 0 1 0
get_npc_stat 1 0 0 2 0 0
get_npc_vislevel 0 0 0 1 0 0
get_obj_overlay_height 0 0 0 1 0 0
get_obj_screen_position 1 0 0 3 0 0
get_selfyangle 0 0 0 1 0 0
getbit_range 3 0 0 1 0 0
getclipboard 0 0 0 0 1 0
getdefaultwindowmode 0 0 0 1 0 0
getgridcoordrelativetocamera 1 0 0 1 0 0
getwindowmode 0 0 0 1 0 0
has_html5 0 0 0 1 0 0
has_nxt 0 0 0 1 0 0
hsvtorgb 1 0 0 1 0 0
if_addpinchflags 2 0 0 0 0 0
if_addswipeflags 2 0 0 0 0 0
if_callonresize 1 0 0 0 0 0
if_clearops 1 0 0 0 0 0
if_clearscripthooks 1 0 0 0 0 0
if_closesubclient 1 0 0 0 0 0
if_debug_button1 2 0 0 0 0 0
if_debug_button10 2 0 0 0 0 0
if_debug_button2 2 0 0 0 0 0
if_debug_button3 2 0 0 0 0 0
if_debug_button4 2 0 0 0 0 0
if_debug_button5 2 0 0 0 0 0
if_debug_button6 2 0 0 0 0 0
if_debug_button7 2 0 0 0 0 0
if_debug_button8 2 0 0 0 0 0
if_debug_button9 2 0 0 0 0 0
if_debug_getcomcount 1 0 0 2 0 0
if_debug_getcomname 1 0 0 0 3 0
if_debug_getname 1 0 0 0 3 0
if_debug_getopenifcount 0 0 0 1 0 0
if_debug_getservertriggers 1 0 0 2 0 0
if_debug_target 2 0 0 0 0 0
if_delpinchflags 2 0 0 0 0 0
if_delswipeflags 2 0 0 0 0 0
if_discardGestureHook 1 0 0 0 0 0
if_dragpickup 3 0 0 0 0 0
if_find 1 0 0 1 0 0
if_get2dangle 1 0 0 1 0 0
if_get_gamescreen 0 0 0 1 0 0
if_getcharindexatpos 1 0 0 0 0 0
if_getcharposatindex 1 0 0 0 0 0
if_getcolour 1 0 0 1 0 0
if_getfontgraphic 1 0 0 1 0 0
if_getfontmetrics 1 0 0 1 0 0
if_getgraphic 1 0 0 1 0 0
if_getgraphicdimensions 1 0 0 2 0 0
if_getheight 1 0 0 1 0 0
if_gethide 1 0 0 1 0 0
if_getinvcount 1 0 0 2 0 0
if_getinvobject 1 0 0 1 0 0
if_getlayer 1 0 0 1 0 0
if_getmodel 1 0 0 1 0 0
if_getmodelangle_x 1 0 0 1 0 0
if_getmodelangle_y 1 0 0 1 0 0
if_getmodelangle_z 1 0 0 1 0 0
if_getmodelxof 1 0 0 1 0 0
if_getmodelyof 1 0 0 1 0 0
if_getmodelzoom 1 0 0 1 0 0
if_getop 2 0 0 0 2 0
if_getopbase 1 0 0 0 2 0
if_getparentlayer 1 0 0 1 0 0
if_getscrollheight 1 0 0 1 0 0
if_getscrollwidth 1 0 0 1 0 0
if_getscrollx 1 0 0 1 0 0
if_getscrolly 1 0 0 1 0 0
if_gettargetmask 1 0 0 1 0 0
if_gettext 1 0 0 0 1 0
if_gettop 0 0 0 1 0 0
if_gettrans 1 0 0 1 0 0
if_getwidth 1 0 0 1 0 0
if_getx 1 0 0 1 0 0
if_gety 1 0 0 1 0 0
if_hassub 1 0 0 2 0 0
if_npc_setcustombodymodel 1 0 0 0 0 0
if_npc_setcustombodymodel_transformed 1 0 0 0 0 0
if_npc_setcustomheadmodel 1 0 0 0 0 0
if_npc_setcustomrecol 1 0 0 0 0 0
if_npc_setcustomretex 1 0 0 0 0 0
if_opensubclient 2 0 0 0 0 0
if_resetlinkplayer 1 0 0 0 0 0
if_resetmodellighting 1 0 0 0 0 0
if_resume_pausebutton 1 0 0 0 0 0
if_set2dangle 1 0 0 0 0 0
if_set_gamescreen_enabled 1 0 0 0 0 0
if_setalpha 1 0 0 0 0 0
if_setaspect 1 0 0 0 0 0
if_setclickmask 1 0 0 0 0 0
if_setcolour 1 0 0 0 0 0
if_setdragdeadtime 1 0 0 0 0 0
if_setdragdeadzone 1 0 0 0 0 0
if_setdraggable 1 0 0 0 0 0
if_setdragrenderbehaviour 1 0 0 0 0 0
if_setfill 1 0 0 0 0 0
if_setfontmono 1 0 0 0 0 0
if_setgraphic 1 0 0 0 0 0
if_setgraphicshadow 1 0 0 0 0 0
if_setheld 1 0 0 0 0 0
if_sethflip 1 0 0 0 0 0
if_sethide 1 0 0 0 0 0
if_setlinedirection 1 0 0 0 0 0
if_setlinewid 1 0 0 0 0 0
if_setlinkactiveclanchannel 1 0 0 0 0 0
if_setlinkfriend 1 0 0 0 0 0
if_setlinkfriendchat 1 0 0 0 0 0
if_setlinkplayergroup 2 0 0 0 0 0
if_setmaxlines 1 0 0 0 0 0
if_setmodel 1 0 0 0 0 0
if_setmodelangle 1 0 0 0 0 0
if_setmodelanim 1 0 0 0 0 0
if_setmodellighting 1 0 0 0 0 0
if_setmodelorigin 1 0 0 0 0 0
if_setmodelorthog 1 0 0 0 0 0
if_setmodeltint 1 0 0 0 0 0
if_setmodelzoom 1 0 0 0 0 0
if_setmouseovercursor 1 0 0 0 0 0
if_setnoclickthrough 1 0 0 0 0 0
if_setnpchead 1 0 0 0 0 0
if_setnpcmodel 1 0 0 0 0 0
if_setobject 1 0 0 0 0 0
if_setobject_alwaysnum 1 0 0 0 0 0
if_setobject_nonum 1 0 0 0 0 0
if_setobject_wearcol 1 0 0 0 0 0
if_setobject_wearcol_alwaysnum 1 0 0 0 0 0
if_setobject_wearcol_nonum 1 0 0 0 0 0
if_setoncameraupdatetransmit 1 0 0 0 0 0
if_setoncamfinished 1 0 0 0 0 0
if_setonchattransmit 1 0 0 0 0 0
if_setonclanchanneltransmit 1 0 0 0 0 0
if_setonclansettingstransmit 1 0 0 0 0 0
if_setonclantransmit 1 0 0 0 0 0
if_setonclick 1 0 0 0 0 0
if_setonclickrepeat 1 0 0 0 0 0
if_setondialogabort 1 0 0 0 0 0
if_setondrag 1 0 0 0 0 0
if_setondragcomplete 1 0 0 0 0 0
if_setondragcomplete_alias 1 0 0 0 0 0
if_setonfriendtransmit 1 0 0 0 0 0
if_setongamepadaxis 1 0 0 0 0 0
